"ordem_preliminar","arquivo","largura","altura","tamanho_mb","caminho"
"036","gerada-036-ig_0f7a907d66059f300169fd52e04770819aaa8c5597dea4823a.png","1672","941","1,66","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-036-ig_0f7a907d66059f300169fd52e04770819aaa8c5597dea4823a.png"
"037","gerada-037-ig_0f7a907d66059f300169fd53389b54819aaf862a11588e1686.png","1672","941","2,13","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-037-ig_0f7a907d66059f300169fd53389b54819aaf862a11588e1686.png"
"038","gerada-038-ig_0f7a907d66059f300169fd538c77e8819a8e35d8bc95fa384e.png","1672","941","1,86","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-038-ig_0f7a907d66059f300169fd538c77e8819a8e35d8bc95fa384e.png"
"039","gerada-039-ig_0f7a907d66059f300169fd5bbb67b0819ab6aaf52a8e50eb81.png","1672","941","2,02","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-039-ig_0f7a907d66059f300169fd5bbb67b0819ab6aaf52a8e50eb81.png"
"040","gerada-040-ig_0f7a907d66059f300169fd5c0d8ccc819a9d51fe9733526963.png","1672","941","2","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-040-ig_0f7a907d66059f300169fd5c0d8ccc819a9d51fe9733526963.png"
"041","gerada-041-ig_0f7a907d66059f300169fd5c663150819a99a947234652eb9d.png","1672","941","1,95","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-041-ig_0f7a907d66059f300169fd5c663150819a99a947234652eb9d.png"
"042","gerada-042-ig_0f7a907d66059f300169fd5deea384819abea24e6d5245c24a.png","1672","941","2,1","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-042-ig_0f7a907d66059f300169fd5deea384819abea24e6d5245c24a.png"
"043","gerada-043-ig_0f7a907d66059f300169fd5e885ad8819aa511cd2387946100.png","1672","941","2,29","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-043-ig_0f7a907d66059f300169fd5e885ad8819aa511cd2387946100.png"
"044","gerada-044-ig_0f7a907d66059f300169fd5ee82b78819a9a8cfb52d320092a.png","1672","941","1,81","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-044-ig_0f7a907d66059f300169fd5ee82b78819a9a8cfb52d320092a.png"
"045","gerada-045-ig_0f7a907d66059f300169fd5f391e38819abd9970c77b3c7c82.png","1672","941","2,17","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-045-ig_0f7a907d66059f300169fd5f391e38819abd9970c77b3c7c82.png"
"046","gerada-046-ig_0f7a907d66059f300169fd5f864460819a9720bf7a1afc1d5a.png","1672","941","2,13","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-046-ig_0f7a907d66059f300169fd5f864460819a9720bf7a1afc1d5a.png"
"047","gerada-047-ig_0f7a907d66059f300169fd5fdaaab0819a97337b81ee8823b6.png","1672","941","1,94","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-047-ig_0f7a907d66059f300169fd5fdaaab0819a97337b81ee8823b6.png"
